ano,regiao,uf,ies,grande_area,area,nivel,autor,sexo
1999,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,SILKE KAPP,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANA MARIA DE OLIVEIRA GALVAO,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIANE TERESINHA PERES,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CANCIONILA JANZKOVSKI CARDOSO,Desconhecido
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ISABEL CRISTINA ALVES DA SILVA FRADE,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ARACY ALVES MARTINS EVANGELISTA,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GELTA TEREZINHA RAMOS XAVIER,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,NEUSA SALIM MIRANDA,Mulher
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,RICARDO CARNEIRO,Homem
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,BERNARDO JEFFERSON DE OLIVEIRA,Homem
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,EMILIO CESAR PEREIRA RESENDE,Homem
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LEONARDO BARCI CASTRIOTA,Homem
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JOSE CARLOS AGUIAR DE SOUZA,Homem
2000,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,BENTO ITAMAR BORGES,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FLAVIA MARIA TEIXEIRA DOS SANTOS,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ORLANDO GOMES DE AGUIAR JUNIOR,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DAS GRACAS PINHEIRO DA COSTA,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TEREZINHA MARIA CARDOSO,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ECIO ANTONIO PORTES,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RONALDO MARCOS DE LIMA ARAUJO,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FRANCISCA IZABEL PEREIRA MACIEL,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARCO ANTONIO DE SOUZA,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SAMIRA ZAIDAN,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SEBASTIAO PERES,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JUSTINO DE SOUSA JUNIOR,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,FRANCISCO DE ASSIS BRANDAO DOS REIS,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,EDUARDO MARTINS DE LIMA,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,EDUARDO VIANA VARGAS,Homem
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,VERLAINE FREITAS,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MARIA LUCIA FERREIRA,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,IMACULADA MARIA GUIMARAES KANGUSSU,Mulher
2001,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MAURO LUCIO LEITAO CONDE,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JAIRO DIAS CARVALHO,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,RAFAEL CORDEIRO SILVA,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,FLAVIO MARCUS DA SILVA,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,WILDSON LUIZ PEREIRA DOS SANTOS,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADRIANA MARIA CANCELLA DUARTE,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RITA MARCIA ANDRADE VAZ DE MELLO,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIANA BORGES CORREIA DE ALBUQUERQUE,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,HERCULES TOLEDO CORREA,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA MADALENA SILVA DE ASSUNCAO,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA CLARA REZENDE FROTA,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CARLOS FERNANDO FERREIRA DA CUNHA JUNIOR,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,REGINA CELIA PEREIRA CAMPOS,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CERES LEITE PRADO,Mulher
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,EDUARDO MARQUES ARANTES,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ALCENIR SOARES DOS REIS,Unissex
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,LUIS HENRIQUE DA SILVA DE PAIVA,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,ALEXANDRE SIMOES RIBEIRO,Homem
2002,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JULIO FERREIRA DE OLIVEIRA,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,TELMA MARIA GONCALVES MENICUCCI,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,RONALDO GUIMARAES GOUVEA,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,JOSE OTAVIO AGUIAR,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,HELOISA AMELIA GRECO,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARCIO EURELIO RIOS DE CARVALHO,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,HELTON MACHADO ADVERSE,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,PAULO TOMAZ FLEURY TEIXEIRA,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,ROMERO ALVES FREITAS,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,DOUGLAS GARCIA ALVES JUNIOR,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,KARINA KLINKE,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TANIA DE FREITAS RESENDE,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CHRISTIANNE LUCE GOMES,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FERNANDA SIMONE LOPES DE PAIVA,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA ZELIA VERSIANI MACHADO,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CERIS SALETE RIBAS DA SILVA,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SELMA AMBROZINA DE MOURA BRAGA,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIO LUIS HERNANDEZ QUEVEDO,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MURILO CRUZ LEAL,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADELSON FERMANDES MOREIRA,Homem
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CRISTINA DE CASTRO FRADE,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MATILDE DE SOUZA,Mulher
2003,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,EDER JURANDIR CARNEIRO,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ROSA MARIA DA EXALTACAO COUTRIM,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,HELDER BUENOS AIRES DE CARVALHO,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JULIO FLAVIO DE FIGUEIREDO FERNANDES,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,NADIA SOUKI DINIZ,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ADRIANA MARIA DE FIGUEIREDO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MARIA STELLA BRANDAO GOULART,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,GLICIA SALVIANO GRIPP,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,REGINA CELIA LIMA CALEIRO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,RENATO DA SILVA DIAS,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,CELIA NONATA DA SILVA,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,FRANCIS ALBERT COTTA FORMIGA,Unissex
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DO SOCORRO ALENCAR NUNES MACEDO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ISABEL DE OLIVEIRA E SILVA,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GED GUIMARAES,Desconhecido
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GLADYS AGMAR SA ROCHA,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RAQUEL MARTINS DE ASSIS,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ERISVALDO PEREIRA DOS SANTOS,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,WELLINGTON TADEU SBERK DE ARAUJO,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ZENOLIA CHRISTINA CAMPOS FIGUEIREDO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,EDENIA MARIA RIBEIRO DO AMARAL,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SONIA DE JESUS NUNES BERTOLO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA GABRIELA PARENTI BICALHO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,HELDER FIGUEIREDO DE PAULA,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA ANGELICA ALBERTO DO ESPIRITO SANTO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CLAUDIO MARQUES MARTINS NOGUEIRA,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA EMILIA LINS E SILVA,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CARMEN MARIA DE CARO MARTINS,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DE FATIMA CARDOSO GOMES,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LEILA MIRTES SANTOS DE MAGALHAES PINTO,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA ISABEL ANTUNES ROCHA,Mulher
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CARLOS MURILO DA SILVA VALADARES,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,PLINIO CAVALCANTI MOREIRA,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,IRLEN ANTONIO GONCALVES,Unissex
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FLAVIO COUTO E SILVA DE OLIVEIRA,Homem
2004,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ARLETE MARIA MONTE DE CAMARGO,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,TULIO ROBERTO XAVIER DE AGUIAR,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,CARLOS ROBERTO DRAWIN,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,HUGO EDUARDO ARAUJO DA GAMA CERQUEIRA,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,VALENTINA GOMES SOMARRIBA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,CARLA BRONZO LADEIRA CARNEIRO,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARIA DO CARMO PIRES,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARCIA PEREIRA DA SILVA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ANA MONICA HENRIQUES LOPES,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ETHEL MIZRAHY CUPERSCHMID,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,LEANDRO PENA CATAO,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ANNA FLAVIA ARRUDA LANNA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,PAULO CESAR DE CAMPOS MORAIS,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARIA DO CARMO ANDRADE GOMES,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,RAMON FERNANDES GROSSI,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,BRUNO LAZZAROTTI DINIZ COSTA,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,LEONARDO ALVES LAMOUNIER,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ANGELA MARIA SIMAN CARVALHO,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,CLAUDIA FERES FARIA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,LUCIO ALVES DE BARROS,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LUCIA HELENA GARCIA BERNARDES,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CARLA SIMONE CHAMON,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JOSE RAIMUNDO LISBOA DA COSTA,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FRANCISCO ANGELO COUTINHO,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADRIANA DE CASTRO AMEDEE PERET,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SILVANA VENTORIM,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARGARETH DINIZ,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANA CLAUDIA LOPES CHEQUER SARAIVA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ERNANI DE CASTRO MALETTA,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,VERA LUCIA JACOB CHAVES,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,IZA RODRIGUES DA LUZ,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA INES MAFRA GOULART,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TANY MARA MONFREDINI CORDEIRO DE MOURA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LIGIA VIEIRA DE LOIOLA,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARCIO ANTONIO CARDOSO LIMA,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADEMILSON DE SOUSA SOARES,Homem
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,KATIA MARIA PENIDO BUENO,Mulher
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CLAUDIO MARCIO MAGALHAES,Homem
