dominio,documento,nome,uf,cidade,cep,data_cadastro,ultima_atualizacao,ticket
fhdf.gov.br,000.054.015/0001-32,Secretaria de Saúde do Distrito Federal,DF,Brasília,70335-902,1996-01-01T12:00:00Z,2008-02-19T20:18:44Z,0
funai.gov.br,000.059.311/0001-26,Fundação Nacional do Indio,DF,Brasília,70390-025,1998-02-10T13:07:35Z,2017-07-28T02:47:17Z,83785
museudoindio.gov.br,000.059.311/0002-07,Museu do Índio - Fundação Nacional do Índio,RJ,Rio de Janeiro,22270-070,2003-10-23T16:28:14Z,2018-11-19T21:00:01Z,1373769
eletrosul.gov.br,000.073.957/0001-68,Eletrosul Centrais Elétricas S.A.,SC,Florianópolis,88040-901,1996-07-27T12:00:00Z,2014-12-29T18:59:18Z,12785
bcdam.gov.br,000.091.652/0002-60,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,RJ,Rio de Janeiro,22290-240,1999-03-22T18:29:36Z,2017-05-09T12:59:38Z,145756
cprm.gov.br,000.091.652/0002-60,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,RJ,Rio de Janeiro,22290-240,1996-02-16T12:00:00Z,2017-05-09T12:58:53Z,5443
redegeochronos.gov.br,000.091.652/0002-60,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,RJ,Rio de Janeiro,22290-240,2006-05-19T11:22:45Z,2014-04-24T17:36:06Z,2788606
cprm-ma.gov.br,000.091.652/0004-21,Companhia de Pesquisa de Recursos Minerais CPRM,AM,Manaus,69060-001,2001-01-23T12:07:05Z,2002-12-30T14:57:15Z,500371
cprm-be.gov.br,000.091.652/0005-02,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,PA,Belém,66120-680,1997-01-18T11:00:00Z,2017-02-01T21:26:40Z,28066
cprmba.gov.br,000.091.652/0007-74,Companhia de Pesquisa de Recursos Minerais,BA,Salvador,41213-000,2001-03-09T12:12:55Z,2002-06-22T14:25:00Z,523307
cprm-sp.gov.br,000.091.652/0008-55,Companhia de Pesquisa de Recursos Minerais,SP,São Paulo,01304-010,1998-05-04T17:43:41Z,1998-05-05T12:00:00Z,95976
cprmpa.gov.br,000.091.652/0009-36,Companhia de Pesquisas de Recursos Minerais CPRM,RS,Porto Alegre,90840-030,1998-07-18T13:55:22Z,2018-10-09T16:46:40Z,104099
cprmbh.gov.br,000.091.652/0010-70,Companhia de Pesquisa de Recursos Minerais - CPRM,MG,Belo Horizonte,30140-002,2000-11-17T14:03:42Z,2003-08-06T21:07:10Z,460087
saofrancisco.gov.br,000.091.652/0010-70,Companhia de Pesquisa de Recursos Minerais - CPRM,MG,Belo Horizonte,30140-002,1999-10-13T16:52:31Z,2016-04-13T16:16:32Z,204971
reste.gov.br,000.091.652/0015-84,Companhia de Pesquisa de Recursos Minerais,PI,Teresina,64001-570,1998-02-10T12:07:21Z,1998-02-10T12:00:00Z,85216
crecidf.gov.br,000.105.650/0001-00,CONSELHO REGIONAL DE CORRETORES DE IMOVEIS CRECI,DF,Brasília,70391-900,2012-01-12T13:23:50Z,2019-06-13T20:59:50Z,9323584
cfmv.gov.br,000.119.784/0001-71,CONSELHO FEDERAL DE MEDICINA VETERINARIA,DF,Brasília,71205-060,2010-12-29T12:54:29Z,2019-06-24T10:47:26Z,7629594
eafrs.gov.br,000.147.606/0001-54,Escola Agrotécnica Federal de Rio do Sul,SC,Rio do Sul,89160-000,2002-05-29T12:29:48Z,2011-10-13T21:38:16Z,866902
inb.gov.br,000.322.818/0020-93,Industrias Nucleares do Brasil S/A,RJ,Resende,27555-000,1998-03-17T19:26:24Z,2017-01-27T14:24:11Z,89158
agritempo.gov.br,000.348.003/0001-10,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,SP,Campinas,13083-886,2003-06-05T18:42:46Z,2015-07-29T18:33:32Z,1236028
agrolivre.gov.br,000.348.003/0001-10,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,SP,Campinas,13083-886,2004-02-03T18:31:07Z,2015-07-29T18:33:56Z,1480690
terraclass.gov.br,000.348.003/0001-10,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,SP,Campinas,13083-886,2018-08-03T12:58:54Z,2018-08-03T12:58:54Z,18629292
pimentalonga.gov.br,000.348.003/0068-28,Embrapa - Acre,AC,Rio Branco,69900-056,2000-10-25T12:50:34Z,2000-11-27T14:39:49Z,449661
embrapa.gov.br,000.348.003/0101-83,Empresa Brasileira de Pesquisa Agropecuaria,RR,Boa Vista,69301-970,2000-06-09T20:26:57Z,2019-06-27T13:45:45Z,357901
aeroportodebrasilia.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-11-12T10:56:02Z,2013-01-09T11:34:42Z,1008124
aeroportodesalvador.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-11-12T10:56:02Z,2013-01-09T11:34:38Z,1012775
aeroportoindustria.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-01-29T18:45:42Z,2013-01-09T11:34:34Z,719691
aeroportoindustrial.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-01-29T18:45:44Z,2013-01-09T11:34:28Z,719697
aeroshopping.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-01-29T18:45:38Z,2013-01-09T11:34:13Z,719666
infraero.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,1996-11-05T11:00:00Z,2015-01-20T18:05:47Z,21425
sivnet.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-01-29T18:45:39Z,2013-01-09T11:34:23Z,719669
tecanet.gov.br,000.352.294/0001-10,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,DF,Brasília,70300-500,2002-01-29T18:45:41Z,2013-01-09T11:34:18Z,719687
novoaeroportorecife.gov.br,000.352.294/0014-35,INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA,PE,Recife,51210-001,2001-07-10T11:41:34Z,2013-02-15T12:12:41Z,596093
amazonasenergia.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2001-09-28T20:14:55Z,2015-10-16T20:59:14Z,639230
belomonte.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2002-05-08T14:33:37Z,2008-05-08T13:59:24Z,810126
boavistaenergia.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2000-09-12T12:00:19Z,2016-06-15T01:15:39Z,414884
bvenergia.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2000-09-12T12:00:20Z,2010-01-09T16:52:25Z,414885
cbee.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2002-01-24T14:02:30Z,2006-02-22T13:46:52Z,714185
coegv.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,1998-11-12T19:22:22Z,2008-05-08T14:13:21Z,122146
eletronorte.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2000-08-09T22:35:19Z,2019-01-10T13:17:15Z,396358
eln.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,1995-05-30T12:00:00Z,2019-01-10T13:18:40Z,0
energiaboavista.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2000-09-12T12:00:20Z,2008-12-10T12:11:46Z,414887
energiabv.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2000-09-12T12:00:21Z,2008-12-10T12:11:56Z,414889
redefloresta.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2004-03-05T12:48:15Z,2010-05-12T11:22:33Z,1546935
topawa-kaa.gov.br,000.357.038/0001-16,Centrais Eletricas do Norte do Brasil,DF,Brasília,70716-901,2004-03-05T12:48:15Z,2010-05-12T11:22:53Z,1546938
cadastrominhacasaminhavida.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2016-03-25T20:12:18Z,2016-03-29T19:56:52Z,15397059
caixa.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1997-08-20T12:00:00Z,2016-11-29T02:08:42Z,53140
caixacultural.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2005-05-17T11:42:54Z,2015-07-16T18:55:07Z,2119071
caixaeconomica.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1997-08-20T12:00:00Z,2015-07-16T19:03:08Z,53141
caixaeconomicafederal.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1998-10-20T13:51:47Z,2015-07-16T19:08:55Z,120970
caixamaisqueumbanco.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2011-09-12T18:52:35Z,2015-07-16T19:35:35Z,8785977
caixamasterpass.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2015-10-27T19:33:35Z,2015-10-27T19:33:35Z,14823420
caixaoperadoradeseguros.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2015-07-16T17:39:31Z,2015-07-16T19:38:13Z,14436705
caixapostal.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1999-11-23T16:04:45Z,2015-07-16T19:40:19Z,223289
caixaseguridade.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2015-07-16T17:39:31Z,2015-07-16T19:42:44Z,14436714
cef.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1996-01-01T12:00:00Z,2015-07-16T20:39:01Z,0
creditoruralcaixa.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2014-09-17T15:09:31Z,2015-07-16T20:48:44Z,13323025
fgts.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2009-04-29T16:21:42Z,2015-07-16T21:00:13Z,5512241
postal.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,1999-11-23T16:04:46Z,2015-07-16T21:27:26Z,223294
seliganacaixa.gov.br,000.360.305/0001-04,CAIXA ECONOMICA FEDERAL,DF,Brasília,70070-140,2014-09-17T15:09:31Z,2015-07-16T21:34:41Z,13323021
investidoresinstitucionais.gov.br,000.360.305/0262-51,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-12-13T13:28:42Z,2015-07-16T21:17:50Z,689142
caminhaodasorte.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:04Z,2015-07-16T19:43:47Z,323560
caminhaofederal.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:04Z,2015-07-16T19:44:03Z,323559
cartelafederal.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:05Z,2015-07-16T19:54:46Z,323555
loteriaesportiva.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:12Z,2015-07-16T21:20:13Z,323558
loteriafederal.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:13Z,2015-07-16T21:20:48Z,323556
quina.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:17Z,2015-07-16T21:30:16Z,323557
sena.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:19Z,2015-07-16T21:35:04Z,323554
supercaminhaodasorte.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:20Z,2015-07-16T21:35:42Z,323561
trevodaloteria.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:23Z,2015-07-16T21:39:08Z,323553
trincadasorte.gov.br,000.360.305/0643-40,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:25Z,2015-07-16T21:41:15Z,323562
bolsadacaixa.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:42Z,2015-07-16T18:31:57Z,399411
caixaqui.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:44Z,2015-07-16T19:41:19Z,399412
caixavirtual.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:44Z,2015-07-16T19:43:13Z,399413
esportiva.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:49Z,2015-07-16T20:56:09Z,399414
federal.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:49Z,2015-07-16T20:56:33Z,399415
govbankingcaixa.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:52Z,2015-07-16T21:02:57Z,399416
instantanea.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:54Z,2015-07-16T21:07:40Z,399419
mega-sena.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:57Z,2015-07-16T21:23:18Z,399420
megasena.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2003-09-22T12:32:38Z,2015-07-16T21:23:55Z,1337598
rapidinha.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:18:00Z,2015-07-16T21:31:10Z,399421
supersenaduplachance.gov.br,000.360.305/0655-83,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:18:01Z,2015-07-16T21:36:07Z,399422
apostasurpresa.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T20:46:54Z,2015-07-16T18:28:44Z,399383
caixaresolve.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T20:46:55Z,2015-07-16T19:41:37Z,399386
chequeazul.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T20:46:57Z,2015-07-16T20:40:04Z,399389
construcard.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T20:46:58Z,2015-07-16T20:44:20Z,399390
federalcap.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:50Z,2015-07-16T20:56:48Z,399404
federalcard.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:50Z,2015-07-16T20:57:31Z,399405
guiafacilgps.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:53Z,2015-07-16T21:06:06Z,399406
loterias.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:55Z,2015-07-16T21:21:07Z,399407
officebankingsocial.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:59Z,2015-07-16T21:26:37Z,399409
teimozinha.gov.br,000.360.305/0674-46,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:18:02Z,2015-07-16T21:36:41Z,399410
bolaofederal.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:04Z,2015-07-16T18:31:09Z,323563
lojacaixa.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2004-10-19T18:53:37Z,2015-07-16T21:19:12Z,1850408
loteca.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:11Z,2015-07-16T21:19:57Z,323569
loto-tauloteriadacopa.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:14Z,2015-07-16T21:22:07Z,323575
raspadinhadacaixa.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:18Z,2015-07-16T21:32:03Z,323570
raspadinhafederal.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:18Z,2015-07-16T21:32:23Z,323571
shoppingcaixa.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2004-10-19T18:53:37Z,2015-07-16T21:35:22Z,1850414
supertrinca.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:20Z,2015-07-16T21:36:25Z,323567
trevodasorte.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:23Z,2015-07-16T21:39:23Z,323577
trevofederal.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:24Z,2015-07-16T21:40:29Z,323580
trinca.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:25Z,2015-07-16T21:40:49Z,323568
trinka.gov.br,000.360.305/0688-41,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-05-02T13:26:26Z,2015-07-16T21:41:46Z,323565
caixadasorte.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:42Z,2015-07-16T18:56:03Z,399423
caixadotesouro.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:43Z,2015-07-16T18:59:03Z,399424
caixaforte.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:43Z,2015-07-16T19:31:54Z,399425
carrocampeao.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:45Z,2015-07-16T19:44:21Z,399426
dinheiroaqui.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:46Z,2015-07-16T20:49:08Z,399427
dinheiroemcaixa.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:46Z,2015-07-16T20:49:29Z,399428
dinheiroinstantaneo.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:47Z,2015-07-16T20:49:55Z,399429
dinheirovivo.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:48Z,2015-07-16T20:50:12Z,399431
duplasena.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2003-09-30T19:48:18Z,2015-07-16T20:50:44Z,1342309
loteriascaixa.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:56Z,2015-07-16T21:21:50Z,399432
lotofacil.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2000-08-04T21:17:56Z,2015-07-16T21:22:23Z,399433
lotomania.gov.br,000.360.305/2399-13,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2003-09-30T19:48:18Z,2015-07-16T21:23:03Z,1342303
caixaaqui.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-09-05T20:08:24Z,2015-07-16T18:51:27Z,628476
caixainvest.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-10-25T19:55:47Z,2015-07-16T19:34:29Z,650493
caixainveste.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-10-25T19:55:48Z,2015-07-16T19:34:57Z,650495
e-conta.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-09-05T20:08:23Z,2017-10-11T21:10:58Z,628473
e-contacaixa.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-12-17T19:18:37Z,2017-10-11T21:15:23Z,685789
e-pagamentos.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-12-17T19:18:38Z,2017-10-11T21:14:24Z,685791
e-pagamentoscaixa.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-12-17T19:18:38Z,2017-10-11T21:13:43Z,685790
ecobrancacaixa.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2002-04-01T18:33:13Z,2017-10-11T21:16:06Z,768337
investcaixa.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-10-25T19:55:49Z,2017-10-11T21:12:16Z,650496
investecaixa.gov.br,000.360.305/2714-85,CAIXA ECONOMICA FEDERAL,DF,Brasília,70750-544,2001-10-25T19:55:49Z,2017-10-11T21:13:02Z,650497
geipot.gov.br,000.366.914/0001-70,EMPRESA BRASILEIRA DE PLANEJAMENTO DE,DF,Brasília,70044-902,1996-10-31T11:00:00Z,2014-07-30T18:42:20Z,20961
dpu.gov.br,000.375.114/0001-16,Defensoria Pública-Geral da União,DF,Brasília,70040-250,2007-10-05T17:05:55Z,2018-11-05T20:38:43Z,3957938
incra.gov.br,000.375.972/0002-41,INCRA/INSTITUTO NACIONAL DE COLON E REF. AGRARIA,DF,Brasília,70057-900,1996-07-12T12:00:00Z,2017-03-22T22:12:39Z,11611
nead.gov.br,000.375.972/0002-41,INCRA/INSTITUTO NACIONAL DE COLON E REF. AGRARIA,DF,Brasília,70057-900,1999-04-07T11:58:19Z,2011-08-03T15:57:51Z,146549
incra-pe.gov.br,000.375.972/0005-94,Superint. Estadual de Pernambuco - Incra,PE,Recife,52050-220,1998-11-25T14:12:52Z,2000-08-18T20:33:55Z,123516
incrarn.gov.br,000.375.972/0018-09,Instituto Nacional de Colonizacao e Ref. Agraria,RN,Natal,59020-030,1998-06-17T12:30:34Z,2003-09-04T12:27:34Z,99023
fnde.gov.br,000.378.257/0001-81,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,DF,Brasília,70070-120,1998-11-17T15:57:35Z,2016-02-24T12:06:54Z,124561
anm.gov.br,000.381.056/0001-33,Agência Nacional de Mineração,DF,Brasília,70041-903,2018-01-30T11:30:00Z,2018-03-16T19:17:51Z,17949998
dnpm.gov.br,000.381.056/0001-33,Agência Nacional de Mineração,DF,Brasília,70041-903,1997-04-02T12:00:00Z,2018-03-16T19:19:53Z,35177
pormin.gov.br,000.381.056/0001-33,Agência Nacional de Mineração,DF,Brasília,70041-903,2008-01-11T19:24:38Z,2015-02-04T17:05:28Z,4136215
dnpm-pe.gov.br,000.381.056/0005-67,4 Distrito DNPM - PE,PE,Recife,52070-000,2002-10-01T12:12:23Z,2013-08-16T12:43:47Z,957607
dnpmsc.gov.br,000.381.056/0012-96,DNPM - 11º Distrito,SC,Florianópolis,88020-180,2002-05-07T19:05:37Z,2007-05-07T21:38:38Z,825078
dnpmma.gov.br,000.381.056/0023-49,DNPM - Depart. Nacional de Produção Mineral,MA,sao luis,65025-240,2002-09-04T17:28:42Z,2002-09-04T14:28:42Z,944603
bndespar.gov.br,000.383.281/0001-09,BNDES Participações S/A,RJ,Rio de Janeiro,20031-917,2006-05-17T17:29:51Z,2014-11-11T20:48:56Z,2800307
